Number,Jar Number,Museum_number,PhD Tag,Species_name,Common Name,Field Collection ID,Collecting_site,Province,Country,GPS Coordinates,Collecting_year,Collecting_month,Collectiing_date,Observations,Photograph,Tagged,Dissection_date,Collector,Sex,Standard_length,Gonopodium_length,Wet-mass,Reproductive_state,Brood_number,Embryo_stage,Embryo_count,Stomach,Dry_mass,Brood_dry_mass,Brood_dry_mass_total,Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,28,155603,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,2,52.4,,3.27,1,1,8,16,YES,0.6627,0.0949,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,28,155604,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,2,44.1,,1.86,1,1,11,7,YES,0.3579,0.022,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,28,155605,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,2,36.7,,1.0766,1,1,8,7,YES,0.2431,0.0202,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29,155690,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/7/22,Erik Johnson,2,52.2,,3.0005,1,1,4,17,YES,0.5678,0.098,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,29,155693,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/7/22,Erik Johnson,2,49.3,,2.6184,1,1,9,8,YES,0.5556,0.0301,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,29,155705,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/7/22,Erik Johnson,2,45,,2.0149,1,1,10,6,YES,0.4104,0.0206,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,29,155720,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/7/22,Erik Johnson,0,30.3,,0.6205,0,0,NA,NA,YES,0.1297,NA,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,29,155723,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/7/22,Erik Johnson,0,34.2,,0.7223,0,0,NA,NA,YES,0.1544,NA,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11,154136,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,2,52,,2.5026,1,1,3,16,YES,0.6147,0.0741,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11,154137,None,Priapichthys annectens,Olomina,6-Jun,Rio Quebrada Guape,Guanacaste,Costa Rica,N 10o 33.795 W 84o 55.251,2006,February,2/10/06,Museum tags in jar but not individually attached.,YES,YES,4/11/22,Erik Johnson,2,57.1,,3.5048,1,1,3,29,YES,0.7603,0.1384,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
