Number,Jar Number,Museum_number,PhD Tag,Species_name,Common Name,Field Collection ID,Collecting_site,Province,Country,GPS Coordinates,Collecting_year,Collecting_month,Collectiing_date,Observations,Photograph,Tagged,Dissection_date,Collector,Sex,Standard_length,Gonopodium_length,Wet-mass,Reproductive_state,Brood_number,Embryo_stage,Embryo_count,Stomach,Dry_mass,Brood_dry_mass,Brood_dry_mass_total,Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,17,154379,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,4/15/22,Erik Johnson,0,49.4,,2.0455,0,0,NA,NA,YES,0.4269,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,17,154380,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,4/15/22,Erik Johnson,0,35.7,,0.674,0,0,NA,NA,YES,0.144,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,17,154381,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,4/15/22,Erik Johnson,2,46.1,,1.6747,1,1,10,2,YES,0.373,0.0066,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,17,154382,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,4/15/22,Erik Johnson,2,37.7,,0.8811,1,1,4,5,YES,0.206,0.0195,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,17,154383,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,4/15/22,Erik Johnson,2,40.3,,1.0108,1,1,11,3,YES,0.2026,0.0076,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,17,154384,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,4/15/22,Erik Johnson,2,40.9,,1.4415,1,1,3,2,YES,0.2937,0.01,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,17,154385,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,4/15/22,Erik Johnson,2,34.9,,0.6555,1,1,3,3,YES,0.144,0.0094,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18,154520,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,4/20/22,Erik Johnaon,2,40.8,,1.3395,1,1,10,3,YES,0.3019,0.0099,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18,154521,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,4/20/22,Erik Johnaon,0,49.3,,2.2516,0,0,NA,NA,YES,0.4888,NA,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,18,154531,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,4/19/22,Erik Johnson,2,41.2,,1.2913,1,1,9,7,YES,0.2795,0.0187,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,18,154556,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,19-Apr,Erik Johnson,2,46.5,,1.7746,1,1,3,6,YES,0.4414,0.0338,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,18,154558,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,4/19/22,Erik Johnson,2,39.1,,1.2735,1,1,6,5,YES,0.2951,0.0233,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,18,154560,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,4/19/22,Erik Johnson,2,37.7,,1.0279,1,1,6,6,YES,0.2398,0.02,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,18,154562,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,4/19/22,Erik Johnson,2,33,,0.6447,1,1,10,2,YES,0.1433,0.0075,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,18,154564,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,19-Apr,Erik Johnson,2,42.3,,1.4193,1,1,4,7,YES,0.3213,0.0343,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,18,154568,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,4/19/22,Erik Johnson,0,33.3,,0.6827,0,0,NA,NA,YES,0.1626,NA,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,154526,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,4/20/22,Erik Johnson,2,41.4,,1.4508,1,1,6,7,YES,0.3458,0.0343,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,18,154559,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,4/20/22,Erik Johnson,2,43.1,,1.644,1,1,11,7,YES,0.337,0.0249,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,18,154567,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,4/20/22,Erik Johnson,0,34.9,,0.6667,0,0,NA,NA,YES,0.1526,NA,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,25,155224,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,41.6,,1.2167,1,1,6,4,YES,0.2624,0.0191,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,25,155225,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,0,32.5,,0.5952,0,0,NA,NA,YES,0.1271,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25,155226,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,44.1,,1.4076,1,1,3,13,YES,0.3148,0.0246,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,25,155228,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,0,35,,0.683,0,0,NA,NA,YES,0.1555,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25,155229,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,48.1,,2.153,1,1,3,13,YES,0.4597,0.0534,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,25,155233,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,26-Apr,Erik Johnson,2,47.8,,2.1227,1,1,8,14,YES,0.4304,0.0499,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,25,155235,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,41,,1.159,1,1,3,7,YES,0.2455,0.023,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,25,155238,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,34.4,,0.7252,1,1,3,9,YES,0.1434,0.0198,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,155242,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,33.1,,0.6667,1,1,1,,YES,0.1349,0.0298,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,25,155243,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,43.1,,1.4148,1,1,5,11,YES,0.28,0.0459,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,25,155244,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,0,33.5,,0.6607,0,0,NA,NA,YES,0.1433,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,25,155245,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,53.9,,3.2077,1,1,1,,YES,0.6535,0.0149,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,25,155247,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,40.6,,1.0944,1,1,8,5,YES,0.2454,0.0136,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,25,155257,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,57.9,,4.0622,1,1,9,29,YES,0.7716,0.0912,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,25,155258,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,52.8,,2.6,1,1,4,22,YES,0.558,0.0959,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,25,155259,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,48.9,,2.1475,1,1,10,12,YES,0.4199,0.0394,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,25,155260,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,0,29.2,,0.3778,0,0,NA,NA,YES,0.0865,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,25,155263,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,48.5,,2.0007,1,1,4,8,YES,0.4163,0.0398,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,25,155266,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,38.1,,0.9164,1,1,3,8,YES,0.206,0.0223,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,25,155267,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,49.7,,2.332,1,1,8,10,YES,0.4794,0.044,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,25,155269,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,26-Apr,Erik Johnson,2,42.3,,1.2453,1,1,4,9,YES,0.2497,0.0356,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,25,155273,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,39.8,,1.1274,1,1,9,4,YES,0.2435,0.01334,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,25,155277,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,26-Apr,Erik Johnson,2,41.5,,1.2443,1,1,6,8,YES,0.2824,0.0222,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,25,155319,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,39.2,,1.212,1,1,7,7,YES,0.249,0.0272,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,25,155320,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,0,31.5,,0.4592,0,0,NA,NA,YES,0.1046,,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,25,155321,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,0,36.1,,0.6423,0,0,NA,NA,YES,0.1486,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,25,155327,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,37.4,,1.0242,1,1,11,2,YES,0.2045,0.0057,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,25,155328,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,2,38.9,,1.0884,1,1,11,6,YES,0.2098,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,25,155329,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,0,33.4,,0.686,0,0,NA,NA,YES,0.1428,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,25,155331,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,4/26/22,Erik Johnson,0,33.8,,0.6126,0,0,NA,NA,YES,0.1315,NA,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,19,154637,None,Priapichthys annectens,Olomina,27-Jun,Trib. to Rio Negro (South Fork)- near Guayabo,Guanacaste,Costa Rica,N 10o 45.766 W 85o 11.595,2006,May,5/5/06,Museum tags in jar but not individually attached.,YES,YES,5/9/22,Erik Johnson,2,53.2,,3.211,1,1,7,11,YES,0.7705,0.0573,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19,154639,None,Priapichthys annectens,Olomina,27-Jun,Trib. to Rio Negro (South Fork)- near Guayabo,Guanacaste,Costa Rica,N 10o 45.766 W 85o 11.595,2006,May,5/5/06,Museum tags in jar but not individually attached.,YES,YES,5/10/22,Erik Johnson,2,42,,1.3329,1,1,11,2,YES,0.3583,0.0082,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,19,154642,None,Priapichthys annectens,Olomina,27-Jun,Trib. to Rio Negro (South Fork)- near Guayabo,Guanacaste,Costa Rica,N 10o 45.766 W 85o 11.595,2006,May,5/5/06,Museum tags in jar but not individually attached.,YES,YES,5/9/22,Erik Johnson,2,43.6,,1.6774,1,1,6,5,YES,0.4097,0.0224,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,19,154644,None,Priapichthys annectens,Olomina,27-Jun,Trib. to Rio Negro (South Fork)- near Guayabo,Guanacaste,Costa Rica,N 10o 45.766 W 85o 11.595,2006,May,5/5/06,Museum tags in jar but not individually attached.,YES,YES,5/10/22,Erik Johnson,2,42.1,,1.3874,1,1,9,3,YES,0.3429,0.0128,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19,154645,None,Priapichthys annectens,Olomina,27-Jun,Trib. to Rio Negro (South Fork)- near Guayabo,Guanacaste,Costa Rica,N 10o 45.766 W 85o 11.595,2006,May,5/5/06,Museum tags in jar but not individually attached.,YES,YES,5/10/22,Erik Johnson,0,33,,0.619,0,0,NA,NA,YES,0.1655,NA,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,19,154647,None,Priapichthys annectens,Olomina,27-Jun,Trib. to Rio Negro (South Fork)- near Guayabo,Guanacaste,Costa Rica,N 10o 45.766 W 85o 11.595,2006,May,5/5/06,Museum tags in jar but not individually attached.,YES,YES,5/9/22,Erik Johnson,2,35.3,,0.7933,1,1,6,2,YES,0.1986,0.009,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,19,154650,None,Priapichthys annectens,Olomina,27-Jun,Trib. to Rio Negro (South Fork)- near Guayabo,Guanacaste,Costa Rica,N 10o 45.766 W 85o 11.595,2006,May,5/5/06,Museum tags in jar but not individually attached.,YES,YES,5/9/22,Erik Johnson,2,49.8,,2.87,1,1,10,12,YES,0.6715,0.059,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
